Pair,Momentum_Score,Rank,RSI_15,Volume_Ratio_15,Price_Change_15,RSI_30,Volume_Ratio_30,Price_Change_30,RSI_60,Volume_Ratio_60,Price_Change_60,RSI_240,Volume_Ratio_240,Price_Change_240,RSI_1D,Volume_Ratio_1D,Price_Change_1D
SOL/USDT,0.5378685174457263,62,50.87500091039126,1.006060479144897,0.5707636041227979,46.14221894423402,0.7150555630783944,-0.43335161821175006,41.73715543991446,1.1703248962622557,-0.09357626465568751,41.3512830265285,0.6695951720901849,-2.618306685266657,55.82107742827798,0.9224932406572987,10.517986487309027
SPX/USDT,0.5376643401569886,63,43.988369846506416,1.6573314301376434,-2.103140305387478,39.31920643889887,1.4519272025634848,-4.0120550009417935,38.42256906041939,1.6083138568597182,-1.292978208232443,48.29702016641459,0.5563640690888485,2.0570570570570528,63.61313887508681,0.7614624911308571,27.576932699524637
PROM/USDT,0.5373576362963233,64,53.14923169798627,0.3994563170081066,1.8580329327992857,54.264330955796,0.6113112059670391,-2.0753102267864874,53.79686213692639,1.142276526404965,1.8695748942799826,48.93705592619049,0.7964378552259973,-3.2449001162667837,62.880882467668656,0.428151359210596,28.69394067200899
BIO/USDT,0.537325020623539,65,48.323815683911114,0.4255475112650006,0.05754567688102197,47.19105028147637,0.7754096476473162,-2.9859076322031575,49.593718632030516,1.537735762585435,1.6959064327485298,53.61103429163821,4.754042734175193,10.260069774817616,57.917151354601586,1.707484453438776,5.713417413766925
DYM/USDT,0.5362494801937312,66,47.55466841340134,1.7184917058935958,-0.5081669691470099,42.87154305998939,1.2374968972450924,-3.2474408753971007,42.24585017601595,1.2281694190696715,1.330868761552677,41.70699634101366,0.6729035476978928,-3.6893886156008464,48.3129276603163,0.7555299412830988,-3.621659634317854
NMR/USDT,0.5353377820643702,67,43.485957272254836,2.9381293526335437,-0.6421811626858789,38.27869906857193,1.779507277756183,-2.541717316830574,39.057643079268736,1.371956962042978,0.21590909090909235,44.2333109843923,0.398781985628911,-2.021997555827115,56.96959301328319,0.20291903507769252,11.210592686002537
STORJ/USDT,0.5350698698715984,68,48.17079332633694,2.406281186254835,-0.14169323414807347,45.03633098494175,1.399831755531504,-0.4941757853865204,42.59576040573884,0.9634384379089774,0.786557025384333,38.05161919201729,0.5305324960665155,-5.020215633423189,47.016381057479336,0.6130628884180668,1.6588532275513859
BAN/USDT,0.534323135004725,69,59.89298370926789,0.4227385453250137,2.3204419889502748,57.9479702858481,0.2836821470795618,1.2654272769879789,55.65020291228982,0.33944107888101954,3.0360832935940376,56.688404026065335,0.6675124231716283,3.0360832935940376,53.90300975555106,0.37626977879813733,-1.5492102065613504
PHA/USDT,0.5336324665855391,70,48.763512529191665,1.948938314733139,0.018399264029431688,43.53275335677145,1.3374068905631304,-1.5306584548501014,40.136456739258435,1.1651133826169293,0.08285004142501413,38.104105527447246,0.6276107725492301,-6.01659751037345,46.07540502649894,0.45512381312480743,-0.3574374484465232
NEAR/USDT,0.5334462003496245,71,48.964450143472824,1.3389759261799112,-0.22115739034280235,44.2913012293401,1.0050529507381725,-0.8427995602784951,41.06939692055152,1.3441808235762163,0.0739918608953098,39.928526024459735,0.7845762038783638,-7.616120218579231,51.791476215632095,0.9169477871837245,7.634194831013905
DOGE/USDT,0.5320995032174759,72,48.52379372325474,1.4541345097732292,0.23857753769975365,43.35228465360328,1.063059680077779,-1.324826088882978,39.159724475877006,1.5819965128161506,-0.7930496769881951,36.819986983548986,0.4837288574785103,-6.879678808916395,52.01973473139719,1.137879619822316,14.238835051017787
EPIC/USDT,0.5316778597268061,73,50.4940485871529,0.8360948034324152,-0.4030130019670855,50.51544985310985,0.8095924075628058,1.9202435910028441,48.68158842476583,0.7320553984602931,2.387765170202269,44.84430650971377,0.10385161183541505,-7.078576225654788,59.86467149844617,1.2511341900435446,130.54198134162598
SCRT/USDT,0.5315878075085083,74,45.76591659324316,1.2431888590738902,-0.5324813631522902,41.99500810289531,0.9087117254852564,-2.1989528795811566,40.909757948632446,1.154903344224967,0.21459227467810282,42.07822390128779,1.3915690422493525,-3.162260238465523,51.12218730242537,0.3218848565285989,5.002810567734677
AGLD/USDT,0.5312070175617345,75,48.545851444701505,2.41534669813754,-0.11095700416089084,42.40736991618405,1.4319581394864083,-1.1664608206395037,37.70599139191382,1.3625624655968567,-0.5935127674258222,31.990413280336043,0.6103228378393771,-9.873607808784893,41.53801136417197,0.49230791225297005,-7.142857142857144
TRX/USDT,0.5305411370385965,76,40.674640843715686,0.49801624234905756,-0.13422818791946486,47.605519793071615,0.570400365880822,-3.4293790199302046,55.196037135976255,0.9518346267572746,3.5824774161613595,67.72902568703307,2.235012333103933,4.869723161718655,75.27123195078622,1.3927496056307047,13.955625127611784
IOTA/USDT,0.530532859786423,77,50.073954008967654,1.3882499656348364,0.19851116625309362,43.990086742385095,0.7995433488664506,-1.0794896957801803,41.04322747847842,0.7066694096978451,0.29850746268656186,40.01948010946,0.4051312603802423,-5.7943925233644835,48.742657876663024,1.099650892457004,10.647639956092208
RUNE/USDT,0.5305168923327267,78,45.231388320997674,2.3513718131043992,-0.2859185132237315,39.70505743011836,1.5107750179623567,-2.0365168539325786,37.940594036744024,2.0158197680640795,-0.35714285714284955,37.004187165591944,0.7656378183828992,-6.751336898395721,40.70697446876557,0.6702463009505482,-8.102766798418973
ZEN/USDT,0.5296338378662401,79,47.50726302992045,1.5363007977494718,-0.21474588403720957,43.162987716302375,1.2282074865908894,-1.7156286721504,40.12634181815336,1.2966528814164326,0.11970313622218774,38.07053911529074,0.47253465864996946,-5.4701627486437605,46.70644295059013,0.47845180509325425,1.8509498295177913
BCH/USDT,0.5295564034925776,80,46.97746567803966,1.6567145867353892,0.5878161738510987,41.70803958092395,0.893400790708959,-0.3529204164460914,39.56877361155268,0.7797860679653262,-2.7385463313813254,48.87115404707712,0.7103441688045644,0.623663578047042,61.86769503429782,1.3655651983886448,8.915476649942093
XRP/USDT,0.5289195813795797,81,48.93043478098164,1.0831414368945187,0.9960868018498807,47.620379091342286,0.8472636848216822,0.20853384664741578,45.76128526362211,1.2741105532845052,0.2985745473224633,42.971735375633976,0.5662349013798306,-2.04100827689993,57.67319468266562,1.0491048474721543,22.742803283195222
